"protein_id"	"FPKM"
CDS_HVO_B0002	1.1389847898
CDS_HVO_B0004	3.0271092654
CDS_HVO_B0001	2.7078433317
CDS_HVO_B0003	2.3474444162
CDS_HVO_B0005	0.6116248190
CDS_HVO_B0006	2.2740072141
CDS_HVO_B0010+	2.5263864301
CDS_HVO_B0007	14.7052607085
CDS_HVO_B0012	1.2344424795
CDS_HVO_B0014	0.4627203698
CDS_HVO_B0008+	5.8873387663
CDS_HVO_B0015	56.0943705814
CDS_HVO_B0016	32.5356127386
CDS_HVO_B0021	0.6141843665
CDS_HVO_B0017+	5.9695016621
CDS_HVO_B0020	12.3076658408
CDS_HVO_B0022++	0.7856664948
CDS_HVO_B0025	1.1376783941
CDS_HVO_B0026	2.9926647211
CDS_HVO_B0035+++	0.0670165173
CDS_HVO_B0029	2.8794979051
CDS_HVO_B0031	0.4945973134
CDS_HVO_B0039	0.5845595071
CDS_HVO_B0033	0.0000000000
CDS_HVO_B0040	1.8848337400
CDS_HVO_B0041+++++	1.2587914073
CDS_HVO_B0048++	12.5044870988
CDS_HVO_B0047	92.1285405717
CDS_HVO_B0051	21.0284033802
CDS_HVO_B0067	3.6764874365
CDS_HVO_B0068+	1.4581229998
CDS_HVO_B0066	31.1663264328
CDS_HVO_B0070	5.0704101107
CDS_HVO_B0071	7.2791774426
CDS_HVO_B0072	10.7604806697
CDS_HVO_B0073	7.2722678699
CDS_HVO_B0083	3.6028594025
CDS_HVO_B0085	1.1633772804
CDS_HVO_B0088	0.3272119678
CDS_HVO_B0087	1.8637192557
CDS_HVO_B0084	27.1583916847
CDS_HVO_B0089+	0.6220163738
CDS_HVO_B0093	0.4821228408
CDS_HVO_B0096	1.5635034054
CDS_HVO_B0095	20.6971721497
CDS_HVO_B0102	1.7351735956
CDS_HVO_B0098	0.0987677352
CDS_HVO_B0101	2.3941317768
CDS_HVO_B0104	7.2452273674
CDS_HVO_B0052++++++++++	25.5276818258
CDS_HVO_B0100	1.7097653380
CDS_HVO_B0106	0.3497422228
CDS_HVO_B0114	6.8123511713
CDS_HVO_B0111+	6.2321915479
CDS_HVO_B0109	1.3642076634
CDS_HVO_B0116	2.9577232471
CDS_HVO_B0115	3.7850881513
CDS_HVO_B0074++++++++	7.1552855240
CDS_HVO_B0117	43.6905066366
CDS_HVO_B0127	0.8733305669
CDS_HVO_B0122	0.0389287465
CDS_HVO_B0129	0.6684951768
CDS_HVO_B0063++	156.1069300837
CDS_HVO_B0125	0.0157522784
CDS_HVO_B0120	0.0440097497
CDS_HVO_B0131	6.3578582327
CDS_HVO_B0118	17.7410365819
CDS_HVO_B0130	77.1768973251
CDS_HVO_B0132	14.7273247133
CDS_HVO_B0135	4.6130804057
CDS_HVO_B0133+	6.5085594673
CDS_HVO_B0138+	6.3483165378
CDS_HVO_B0137	2.6906251080
CDS_HVO_B0140+	3.6561728551
CDS_HVO_B0142	6.5382983480
CDS_HVO_B0143	6.6324200131
CDS_HVO_B0145	7.4677605376
CDS_HVO_B0146	0.9377617174
CDS_HVO_B0148	3.2567278637
CDS_HVO_B0144	18.3540830896
CDS_HVO_B0150	1.8477427725
CDS_HVO_B0149	14.1211483738
CDS_HVO_B0151	80.2452219595
CDS_HVO_B0152	4.3865430745
CDS_HVO_B0155	1.6154008504
CDS_HVO_B0156	18.4921470448
CDS_HVO_B0153+	5.2457033553
CDS_HVO_B0154	3.0242549858
CDS_HVO_B0158	13.2612196355
CDS_HVO_B0159	7.6844514621
CDS_HVO_B0166++++	0.5577143921
CDS_HVO_B0160+++++	0.4922367792
CDS_HVO_B0176+	0.0144620179
CDS_HVO_B0157	6.2255341887
CDS_HVO_B0174	3.5625176405
CDS_HVO_B0171	7.8568907373
CDS_HVO_B0181	3.3609811727
CDS_HVO_B0179+	0.0125041522
CDS_HVO_B0183	6.9211271149
CDS_HVO_B0187+	0.7140917316
CDS_HVO_B0189+	0.8672908911
CDS_HVO_B0191	2.6035471067
CDS_HVO_B0184	8.5274720767
CDS_HVO_B0192+	9.6685087516
CDS_HVO_B0182	31.7285850883
CDS_HVO_B0185+	6.9936447774
CDS_HVO_B0195	9.9571168714
CDS_HVO_B0196	14.1901227080
CDS_HVO_B0194	33.5833898006
CDS_HVO_B0202	0.8049697085
CDS_HVO_B0209	0.0000000000
CDS_HVO_B0199	2.9029183358
CDS_HVO_B0200	1.1494609719
CDS_HVO_B0204	0.4783608084
CDS_HVO_B0215	0.0150384823
CDS_HVO_B0216	0.4305568585
CDS_HVO_B0212	1.5036570823
CDS_HVO_B0205	0.4248736882
CDS_HVO_B0217	0.9514983315
CDS_HVO_B0207	0.0000000000
CDS_HVO_B0222	0.1249635375
CDS_HVO_B0226	0.7290259626
CDS_HVO_B0224	1.8108893504
CDS_HVO_B0227	1.3011045809
CDS_HVO_B0223	7.0504673440
CDS_HVO_B0233	2.4487351680
CDS_HVO_B0232	0.0620586301
CDS_HVO_B0240	7.8665974700
CDS_HVO_B0237	2.8902673663
CDS_HVO_B0235+	0.4796822113
CDS_HVO_B0238	3.0568496821
CDS_HVO_B0234	4.4619667629
CDS_HVO_B0248	2.5759773056
CDS_HVO_B0245	0.9039935607
CDS_HVO_B0251	1.4706952460
CDS_HVO_B0244	0.8013251634
CDS_HVO_B0241+	15.1734744251
CDS_HVO_B0258	0.3298746295
CDS_HVO_B0253	2.9561912543
CDS_HVO_B0256	2.1175881805
CDS_HVO_B0259	1.7536226958
CDS_HVO_B0261	1.0246250638
CDS_HVO_B0264+	0.3455613318
CDS_HVO_B0197+	62.5907024902
CDS_HVO_B0267	0.9797872170
CDS_HVO_B0268	3.4128488883
CDS_HVO_B0271	3.4612059073
CDS_HVO_B0272	10.8610431672
CDS_HVO_B0274+	2.6705415748
CDS_HVO_B0266	70.4401703966
CDS_HVO_B0273	23.4745387105
CDS_HVO_B0269	18.8387304501
CDS_HVO_B0270	2.3499729699
CDS_HVO_B0277	18.7507180712
CDS_HVO_B0281+	0.6420520507
CDS_HVO_B0278	323.4658205686
CDS_HVO_B0279	7.2093928134
CDS_HVO_B0285	1.9638318015
CDS_HVO_B0284	1.3616142161
CDS_HVO_B0289	1.7674427964
CDS_HVO_B0283	3.6949095185
CDS_HVO_B0287	11.7674579059
CDS_HVO_B0286	1.7408404688
CDS_HVO_B0276	46.9865026055
CDS_HVO_B0288	9.7083771985
CDS_HVO_B0291	1.0980318689
CDS_HVO_B0296	2.9995815976
CDS_HVO_B0301	1.4582265824
CDS_HVO_B0293++	1.1129054867
CDS_HVO_B0292	1.6923560948
CDS_HVO_B0303	0.0541700308
CDS_HVO_B0290	33.7334094218
CDS_HVO_B0299+	1.2432886336
CDS_HVO_B0304	7.4880143458
CDS_HVO_B0307	3.7440071729
CDS_HVO_B0308++	0.6224167610
CDS_HVO_B0312+	0.4662919664
CDS_HVO_B0321	1.7847330394
CDS_HVO_B0317	0.1033957650
CDS_HVO_B0324	1.4862504496
CDS_HVO_B0319	0.2752093524
CDS_HVO_B0327	1.0364149615
CDS_HVO_B0329	0.0778321064
CDS_HVO_B0323	2.0620513164
CDS_HVO_B0330	5.5004260257
CDS_HVO_B0333	0.3451712369
CDS_HVO_B0335	0.1610543607
CDS_HVO_B0340	0.3220939645
CDS_HVO_B0344	2.2737429894
CDS_HVO_B0337+	0.0000000000
CDS_HVO_B0345	2.1165456959
CDS_HVO_B0342	0.0000000000
CDS_HVO_B0297	35.2097319286
CDS_HVO_B0298	0.0000000000
CDS_HVO_B0349	0.0507471428
CDS_HVO_B0347	0.0580322339
CDS_HVO_B0351	20.9741667015
CDS_HVO_B0352	16.2980991003
CDS_HVO_B0353	9.0178704324
CDS_HVO_B0354	7.7395086517
CDS_HVO_B0355	6.3469022388
CDS_HVO_B0356+	6.8902585651
CDS_HVO_B0358	26.8398325056
CDS_HVO_B0305	2.0891070527
CDS_HVO_B0306	3.3010031308
CDS_HVO_B0360	1.3396207799
CDS_HVO_B0362++++	1.3469389424
CDS_HVO_B0361	28.2247804197
CDS_HVO_B0367+++	1.8350014118
CDS_HVO_B0374	19.6260546231
CDS_HVO_B0372	179.7139003081
CDS_HVO_B0371	11.9260958151
CDS_HVO_B0375	11.9075130507
CDS_HVO_B0378	5.6109114382
CDS_HVO_B0377	2.3124488745
CDS_HVO_B0379++	0.9992217046
CDS_HVO_B0376	21.9127804237
CDS_HVO_B0382	23.3585096259
CDS_HVO_D0002	85.8579423518
CDS_HVO_D0004	11.0267022805
CDS_HVO_A0001	2.7251441623
CDS_HVO_B0359	77.0279752946
CDS_HVO_D0003	8.3412843746
CDS_HVO_A0002+	4.6661504693
CDS_HVO_D0005+	10.6666218505
CDS_HVO_A0005	3.1241984232
CDS_HVO_A0006	63.6336769420
CDS_HVO_A0007	6.2674430980
CDS_HVO_A0009	10.9418830316
CDS_HVO_A0010+	4.1821424224
CDS_HVO_A0013	11.2732698062
CDS_HVO_A0012	119.6141371713
CDS_HVO_A0008	170.3132733114
CDS_HVO_A0015	74.8987582185
CDS_HVO_A0014	19.2671400441
CDS_HVO_A0018	2.4780035087
CDS_HVO_A0020	3.8414315450
CDS_HVO_A0023	9.0353581164
CDS_HVO_A0021	25.5317842408
CDS_HVO_A0022	0.7838179909
CDS_HVO_A0016	23.4045301847
CDS_HVO_A0026	0.5204292319
CDS_HVO_A0027	11.9147662405
CDS_HVO_A0030	0.0849124912
CDS_HVO_A0025	3.0881501902
CDS_HVO_A0028	1.6138621300
CDS_HVO_A0033+	0.6457199768
CDS_HVO_A0031	6.2512431005
CDS_HVO_A0035	9.5208154014
CDS_HVO_A0024	115.2707816432
CDS_HVO_A0038	6.3413129390
CDS_HVO_A0039	5.2943473208
CDS_HVO_A0040	12.8445346085
CDS_HVO_A0041	2.1562014824
CDS_HVO_A0043	1.7782376492
CDS_HVO_A0046	13.5221197786
CDS_HVO_A0042	12.2398503091
CDS_HVO_A0047	4.1665720982
CDS_HVO_A0036+	56.4665705669
CDS_HVO_A0048	4.4444009935
CDS_HVO_A0044+	3.3287736591
CDS_HVO_A0054++	0.2030481253
CDS_HVO_A0049	5.0157987607
CDS_HVO_A0057	1.1596232766
CDS_HVO_A0052	1.3241787657
CDS_HVO_A0050	3.1618308657
CDS_HVO_A0061	0.0945135387
CDS_HVO_A0063	4.2286335684
CDS_HVO_A0059	4.6079525629
CDS_HVO_A0062	2.7630476221
CDS_HVO_A0064	6.2333669228
CDS_HVO_A0073	4.0115009573
CDS_HVO_A0071	0.8025015406
CDS_HVO_A0069	0.0914321494
CDS_HVO_A0070	1.9901237066
CDS_HVO_A0074	1.7171219012
CDS_HVO_A0065+	10.7968506499
CDS_HVO_A0078+	0.4443820002
CDS_HVO_A0077	5.3143062889
CDS_HVO_A0080	5.5399421785
CDS_HVO_A0082	6.0852522734
CDS_HVO_A0086	2.8856115968
CDS_HVO_A0085	0.9080770156
CDS_HVO_A0083+	2.4565967330
CDS_HVO_A0088+	0.6527339069
CDS_HVO_A0090	3.0580997802
CDS_HVO_A0087	15.7352270320
CDS_HVO_A0092	3.4480220927
CDS_HVO_A0093	8.9879923255
CDS_HVO_A0095	8.5284611150
CDS_HVO_A0096	1.1357292988
CDS_HVO_A0101	30.0822829551
CDS_HVO_A0099+	3.1687433101
CDS_HVO_A0081	6.7798979660
CDS_HVO_A0104	1.2958363429
CDS_HVO_A0106	2.6875562359
CDS_HVO_A0108	0.8191492935
CDS_HVO_A0097	1.3583494202
CDS_HVO_A0109	8.3544807249
CDS_HVO_A0111	13.0250943443
CDS_HVO_A0112	11.5276214098
CDS_HVO_A0116	1.2705026190
CDS_HVO_A0114+	9.6261835039
CDS_HVO_A0117	8.3941130318
CDS_HVO_A0119	4.3057197382
CDS_HVO_A0120	1.3178429907
CDS_HVO_A0118	127.0280033768
CDS_HVO_A0121	8.5788557692
CDS_HVO_A0123	5.0950483347
CDS_HVO_A0122	5.3545563649
CDS_HVO_A0110	6.8808645865
CDS_HVO_A0102	20.8558155590
CDS_HVO_A0103	0.0000000000
CDS_HVO_A0126	1.9404878725
CDS_HVO_A0127	6.5403440939
CDS_HVO_A0125	5.1850620498
CDS_HVO_A0131	28.8235927800
CDS_HVO_A0129+	15.0353241966
CDS_HVO_A0128	23.4664105524
CDS_HVO_A0135+	12.8302831967
CDS_HVO_A0137	2.7831650226
CDS_HVO_A0138	42.7570312711
CDS_HVO_A0143	0.2371373149
CDS_HVO_A0141	1.2733000586
CDS_HVO_A0140	8.8942554591
CDS_HVO_A0139	11.6824903429
CDS_HVO_A0145++	1.5237973298
CDS_HVO_A0148	3.6569431821
CDS_HVO_A0149	2.5398416951
CDS_HVO_A0152	6.8443512090
CDS_HVO_A0144	8.1300610198
CDS_HVO_A0150	7.7435304653
CDS_HVO_A0151	6.4417652773
CDS_HVO_A0156	2.4139752682
CDS_HVO_A0157	5.7328320503
CDS_HVO_A0153++	9.5951431687
CDS_HVO_A0159	5.4199113887
CDS_HVO_A0158	9.6567817988
CDS_HVO_A0166	2.1085015158
CDS_HVO_A0163++	1.1785047213
CDS_HVO_A0167	0.0000000000
CDS_HVO_A0160	10.8423830476
CDS_HVO_A0169	8.8109259449
CDS_HVO_A0168	2.9890212959
CDS_HVO_A0161+	8.8992893518
CDS_HVO_A0170	21.5691554724
CDS_HVO_A0171	18.0495428031
CDS_HVO_A0172	343.1082010036
CDS_HVO_A0173	6.1848404235
CDS_HVO_A0174	8.4346385164
CDS_HVO_A0176+	3.6602028652
CDS_HVO_A0175	4.9585524148
CDS_HVO_A0178	15.1460215174
CDS_HVO_A0182	4.1662311930
CDS_HVO_A0181	6.8786153563
CDS_HVO_A0186	0.8592043135
CDS_HVO_A0187	9.1271470333
CDS_HVO_A0179+	14.7714239776
CDS_HVO_A0191+	0.7517139014
CDS_HVO_A0200	0.3168917896
CDS_HVO_A0190	1.1697107529
CDS_HVO_A0198	0.6227624425
