"transcript_id"	"H26log1_TPM"	"H26log2_TPM"	"H2644_TPM"	"H2645_TPM"	"mean_H26"	"mean_tfeb"
CDS_HVO_B0001	12.22	12.34	8.27	15.88	12.27985342	11.45982548
CDS_HVO_B0002	10.06	11.86	17.83	15.45	10.92298494	16.59739437
CDS_HVO_B0003	21.57	23.73	18.94	25.38	22.624237	21.92480787
CDS_HVO_B0004	9.73	8.67	22.82	17.84	9.184721008	20.17693733
CDS_HVO_B0005	7.8	6.53	8.73	5.38	7.136806008	6.853276589
CDS_HVO_B0006	22.36	22.67	36.35	19.37	22.51446646	26.53487328
CDS_HVO_B0007	150.28	143.05	177.12	138.58	146.620442	156.6693639
CDS_HVO_B0008+	86.55	83.86	39.16	28.59	85.19438362	33.46019127
CDS_HVO_B0011	33.23	33.2	25.62	16.49	33.21499661	20.55416746
CDS_HVO_B0012	12.81	11.57	16.54	10.29	12.17422277	13.0459419
CDS_HVO_B0014	2.98	2.84	5.39	4.52	2.909157954	4.935868718
CDS_HVO_B0015	1023.55	1056.64	594.63	646.71	1039.963399	620.1235097
CDS_HVO_B0016	623.91	565.75	1870.36	1744.98	594.1187444	1806.582628
CDS_HVO_B0017+	37.68	43.34	69.03	80.16	40.4110282	74.38712792
CDS_HVO_B0020	291.12	274.01	37.13	32.87	282.4354638	34.93512702
CDS_HVO_B0021	12.63	12.58	24.57	15.04	12.60497521	19.22323594
CDS_HVO_B0022++	7.84	8.27	5.77	6.07	8.052130153	5.918099357
CDS_HVO_B0025	1.75	1.87	4.25	9.49	1.809005252	6.350787353
CDS_HVO_B0026	22.66	24.13	58.61	45.71	23.38345141	51.75966673
CDS_HVO_B0029	15.66	19.23	36.03	27.19	17.3534377	31.29945207
CDS_HVO_B0031	5.11	6.07	30.59	20.47	5.569353643	25.02353492
CDS_HVO_B0033	0	0	0	0	NA	NA
CDS_HVO_B0035+++	0.21	0.22	0.76	0.3	0.214941853	0.477493455
CDS_HVO_B0039	3.96	4.24	16.36	16.04	4.097609059	16.19920986
CDS_HVO_B0040	16.1	16.02	17.18	13.55	16.05995019	15.25742442
CDS_HVO_B0041+++++	2.55	3.1	2.46	2.77	2.811583184	2.610402268
CDS_HVO_B0047	188.69	272.68	40.9	54.2	226.8303093	47.08269321
CDS_HVO_B0048++	64.2	95.38	95.52	173.08	78.25213096	128.5791647
CDS_HVO_B0051	73.47	110.46	119.66	121.41	90.08604886	120.531824
CDS_HVO_B0052++++++++++	125.41	211.86	231.79	433.84	163.0011123	317.1116106
CDS_HVO_B0063++	1848.26	2261.1	731.68	617.5	2044.284884	672.169919
CDS_HVO_B0066	196.65	245.98	47.73	89.37	219.9362794	65.31179143
CDS_HVO_B0067	11.83	10.91	17.01	8.34	11.360691	11.9106423
CDS_HVO_B0068+	15.35	15.6	33.26	23.69	15.47449515	28.07008016
CDS_HVO_B0070	38.42	49.59	30.14	25.8	43.64914432	27.88569526
CDS_HVO_B0071	162.74	201.9	105.19	104.46	181.2655676	104.8243645
CDS_HVO_B0072	65.7	80.01	127.56	101.58	72.50280684	113.8312119
CDS_HVO_B0073	33.46	36.5	27.64	41.44	34.94695981	33.84378229
CDS_HVO_B0074++++++++	15.36	18.91	38.8	107.25	17.04281667	64.50813902
CDS_HVO_B0083	25.33	26.25	49.93	48.76	25.78589731	49.3415322
CDS_HVO_B0084	130.88	115.52	410.63	257.37	122.9603904	325.0905152
CDS_HVO_B0085	2.11	4.51	16.55	26.27	3.084817661	20.85110309
CDS_HVO_B0087	6.44	7	21.47	25.66	6.714164133	23.47168933
CDS_HVO_B0088	16.62	15.65	71.63	64.41	16.12770907	67.92413636
CDS_HVO_B0089+	1.03	1.61	8.75	12.07	1.287749976	10.27679425
CDS_HVO_B0093	1.27	2.14	2.66	6.28	1.648575142	4.087150597
CDS_HVO_B0095	167.95	161.83	421.78	367.77	164.8616041	393.8502642
CDS_HVO_B0096	6.42	5.8	30.78	52.18	6.102130775	40.07618245
CDS_HVO_B0098	0.07	0.67	1.32	0.96	0.216564078	1.125699782
CDS_HVO_B0100	4.38	4.46	37.28	39.06	4.419819001	38.15962264
CDS_HVO_B0101	23.14	26.01	56.13	71.21	24.53306748	63.22196849
CDS_HVO_B0102	4.28	6.65	24.07	35.35	5.334978913	29.16975317
CDS_HVO_B0104	26.34	16.71	17.64	159.38	20.97954718	53.02323264
CDS_HVO_B0106	0.05	0.27	0.44	0.32	0.1161895	0.375233261
CDS_HVO_B0109	1.93	2.7	6.45	6.51	2.282761486	6.479930555
CDS_HVO_B0111+	7.04	9.27	33.1	50.16	8.078415686	40.74672993
CDS_HVO_B0114	41.75	44.65	24.45	45.5	43.17565865	33.35378539
CDS_HVO_B0115	8.12	11.17	27.3	22.5	9.523675761	24.78406746
CDS_HVO_B0116	14.1	12.12	10.07	6.65	13.0725667	8.183245078
CDS_HVO_B0117	325.9	302.15	445.97	556.07	313.8003904	497.9864837
CDS_HVO_B0118	181.94	191.52	41.64	342.11	186.6685533	119.3543481
CDS_HVO_B0120	0.31	0.45	0.37	0.53	0.373496988	0.442831797
CDS_HVO_B0122	0.17	0.12	0.4	0	0.142828569	NA
CDS_HVO_B0125	0.06	0.22	0	0	0.114891253	NA
CDS_HVO_B0127	4.73	5.05	14.94	6.88	4.887381712	10.13840224
CDS_HVO_B0129	1.77	0	0	18.75	NA	NA
CDS_HVO_B0130	531.26	631.73	635.68	505.84	579.3210507	567.0558801
CDS_HVO_B0131	23.2	27.6	46.92	52.03	25.30454505	49.40898299
CDS_HVO_B0132	67.9	79.93	176.05	140.77	73.66985136	157.4247709
CDS_HVO_B0133+	17.22	25.97	92.27	109.75	21.14718421	100.6311706
CDS_HVO_B0135	10.35	17.24	80.04	94.83	13.357919	87.12171486
CDS_HVO_B0137	34.14	34.59	39.61	24.88	34.36426341	31.39262334
CDS_HVO_B0138+	30.93	40.46	61.66	60.2	35.37552544	60.92562679
CDS_HVO_B0140+	21.43	28.59	22.86	18.74	24.75244836	20.69773901
CDS_HVO_B0142	61.38	64.7	43.86	32.78	63.01814025	37.9174208
CDS_HVO_B0143	34.61	37.93	83.73	229.78	36.23199277	138.7064505
CDS_HVO_B0144	105.97	110.79	5.21	22.67	108.3532016	10.86787468
CDS_HVO_B0145	67.8	68.33	10.98	22.34	68.06448413	15.66183897
CDS_HVO_B0146	6.06	6.88	3.24	16.68	6.456996206	7.351408028
CDS_HVO_B0148	17.41	15.57	15.02	14.55	16.46431596	14.78313228
CDS_HVO_B0149	28.73	29.42	270.54	377.71	29.07295307	319.6649236
CDS_HVO_B0150	6.96	6.87	0.27	1.96	6.914853578	0.727461339
CDS_HVO_B0151	477.54	461.66	14.89	85.31	469.5328704	35.64078983
CDS_HVO_B0152	80.43	75.6	13.05	12.2	77.97761217	12.61784451
CDS_HVO_B0153+	25.36	22.54	6.6	25.62	23.90845875	13.00353798
CDS_HVO_B0154	21.74	22.07	10.11	24.83	21.90437856	15.84396731
CDS_HVO_B0155	15.37	15.65	7.21	10.46	15.50936814	8.684273142
CDS_HVO_B0156	38.61	27.8	2.43	3.53	32.76214279	2.928805217
CDS_HVO_B0157	42.8	40.42	86.35	57.36	41.59298018	70.377809
CDS_HVO_B0158	306.27	321.84	429.34	242.59	313.9584953	322.7283542
CDS_HVO_B0159	130.89	128.59	110.77	71.53	129.7349032	89.01335911
CDS_HVO_B0160+++++	2.44	2.65	5.78	4.66	2.542833066	5.189874758
CDS_HVO_B0166++++	4.83	4.91	7.27	5.5	4.869835726	6.323369355
CDS_HVO_B0171	119.39	109.41	103.11	70.22	114.2911191	85.09044717
CDS_HVO_B0174	45.19	50.59	87.62	57.05	47.8138275	70.70163364
CDS_HVO_B0176+	0.14	0.27	0.53	0.15	0.194422221	0.281957444
CDS_HVO_B0179+	0.27	0.17	0.62	0.3	0.214242853	0.431277173
CDS_HVO_B0181	18.7	19.93	23.78	21.5	19.30520655	22.61128037
CDS_HVO_B0182	412.11	420.5	58.22	50.02	416.2838635	53.9644735
CDS_HVO_B0183	52.23	53.8	37.6	28.43	53.00918788	32.69507608
CDS_HVO_B0184	61.23	94.13	157.7	195.23	75.91824484	175.4644437
CDS_HVO_B0185+	35.45	62.78	126.84	160.37	47.17574589	142.6230374
CDS_HVO_B0187+	9.06	8.86	14.51	9.66	8.959441947	11.83919761
CDS_HVO_B0189+	7.53	6.69	7.59	3.48	7.097584096	5.139377394
CDS_HVO_B0191	11.24	15.98	20.5	12.42	13.40205954	15.95650338
CDS_HVO_B0192+	70.29	81.95	104.54	227.24	75.89641296	154.1287436
CDS_HVO_B0194	179.86	192.4	308.72	219.12	186.024364	260.0898429
CDS_HVO_B0195	4.71	3.18	0	0	3.870116277	NA
CDS_HVO_B0196	48.98	49.44	5.05	15.21	49.2094625	8.764159971
CDS_HVO_B0197+	53.17	117.73	50.79	77.84	79.11829182	62.8768129
CDS_HVO_B0199	18.53	14.57	10.06	11.74	16.43113204	10.86758483
CDS_HVO_B0200	8.32	9.56	59.53	76.72	8.918475206	67.58063036
CDS_HVO_B0202	4.7	4.19	22.49	18.83	4.437679574	20.57879248
