"ID"	"Pexp"	"PS"	"C"	"Sexp"	"Sstat"	"baseMean"	"baseMeanA_Pexp"	"baseMeanB_PS"	"foldChange"	"log2FoldChange"	"pval"	"padj"
TK2306	16.25	13.83333333	155.8333333	15.5	0	13.11783209	19.75087361	6.484790563	0.328329303	-1.606784581	0.456077698	1
TK0001	404.8333333	970.9833333	2378.25119	628.1666667	28.16666667	474.8552669	499.9439883	449.7665455	0.899633871	-0.152590116	0.907041125	1
TK0002	43	49.82142857	252.0333333	30.66666667	3.75	38.12021957	53.08047283	23.1599663	0.43631801	-1.196548068	0.539950491	1
TK0003	19.7	20.33333333	112.8333333	21	0	16.97628927	24.68859202	9.263986519	0.375233489	-1.414139503	0.499027496	1
TK0004	89.83333333	298	1211.2	246.5	15.5	124.5660316	111.0986641	138.0333991	1.242439774	0.313175921	0.907762656	1
TK0005	45	109.5833333	340	53.83333333	2	53.25062894	55.54933204	50.95192585	0.917237417	-0.124632886	0.929939775	1
TK0006	19	76	173.8333333	40	1	29.32865559	23.45416241	35.20314877	1.500933956	0.585860497	0.818569028	1
TK0007	48	99.5	137.3333333	79	2	52.78627672	59.25262084	46.31993259	0.781736435	-0.355245814	0.837951496	1
TK0008	378.6666667	833.7222222	1553.707576	343.6111111	16	427.0785283	467.8488187	386.3082378	0.825711688	-0.276289968	0.85716723	1
TK0009	96	217.7	1539.97619	154	8	109.7413474	118.5052417	100.9774531	0.852092714	-0.230917679	0.88027135	1
TK0010	19	24.86111111	218.5	16.16666667	0	17.51707278	23.45416241	11.57998315	0.493728275	-1.018210827	0.622242853	1
TK0011	74	319.4166667	1264.5	199.5	5	119.5541877	91.34779046	147.760585	1.617560581	0.693819745	0.754166326	1
TK0012	39.2	94.5	461.5	54.16666667	2	45.84174553	48.14275443	43.54073664	0.904408922	-0.14495287	0.923761861	1
TK0013	25	154	387.3333333	127.5	3.5	51.09671811	30.86074002	71.33269619	2.311438292	1.208790848	0.573439037	1
TK0014	23.5	76.86666667	499.825	54.95	1.5	32.64632926	29.62631042	35.6663481	1.20387411	0.267684537	0.941629537	1
TK0015	178	510.3333333	1794.458333	426.8333333	21	227.9800626	219.7284689	236.2316562	1.075107187	0.104480503	0.991299361	1
TK0016	15.5	32.58333333	46	48	0.666666667	17.51822568	19.75087361	15.28557776	0.773919071	-0.369745384	0.85878682	1
TK0017	2.5	15.25	29.5	9.5	1.166666667	4.708424545	2.468859202	6.947989889	2.814251167	1.492751092	0.664522804	1
TK0018	188	569.6666667	661.8428571	228.3333333	13.16666667	248.0481904	232.0727649	264.0236158	1.137676004	0.186089754	0.957411402	1
TK0019	150.3333333	466.4166667	1423.333333	352.9583333	10.33333333	200.507663	185.1644401	215.8508859	1.165725372	0.221227951	0.943520688	1
TK0020	47	76.75	625.0333333	47	0.5	46.84226967	58.01819124	35.6663481	0.614744227	-0.701941814	0.706958061	1
TK0021	73.5	116	723.0333333	70.41666667	10	72.53945613	91.34779046	53.73112181	0.588203848	-0.765611874	0.677696681	1
TK0022	61.16666667	67	181.0026316	58.33333333	8.166666667	53.16728024	75.30020565	31.03435484	0.412141701	-1.27878765	0.508119238	1
TK0023	19.66666667	13.41666667	87.95	12.33333333	2.333333333	15.35509163	24.68859202	6.021591237	0.243901768	-2.03562788	0.34098521	1
TK0024	24.5	41.25	166	45.5	0.916666667	24.30874139	29.62631042	18.99117236	0.641023877	-0.641549999	0.744282741	1
TK0025	175.5	252.5714286	591.825	276.9	20	167.2245196	217.2596097	117.1894295	0.53939814	-0.890577547	0.626775788	1
TK0026	27	39.5	201.1166667	51	1	25.92878613	33.32959922	18.52797304	0.555901465	-0.847098911	0.66758633	1
TK0027	48.76666667	46.31666667	193.4683473	39.21666667	30.36666667	40.89710972	60.48705044	21.30716899	0.35226001	-1.505287391	0.444192584	1
TK0028	290.75	552.0634921	1101.758824	341.75	13.25	307.4525209	359.2190138	255.6860279	0.711783113	-0.490490389	0.773222033	1
