"locus"	"Half-life"	"RPKM"
BCE_0001	1.8	502
BCE_0002	1.9	233
BCE_0003	2.1	569
BCE_0004	2.0	656
BCE_0005	2.0	773
BCE_0006	2.6	540
BCE_0007	2.0	8170
BCE_0008	NA	NA
BCE_0009	3.1	375
BCE_0010	1.8	281
BCE_0011	8.3	551
BCE_0012	7.5	420
BCE_0013	7.0	264
BCE_0014	2.9	560
BCE_0015	3.0	323
BCE_0016	NA	207
BCE_0017	NA	19
BCE_0018	NA	29
BCE_0019	2.3	40
BCE_0020	1.9	797
BCE_0021	3.3	794
BCE_0022	3.1	650
BCE_0023	3.4	585
BCE_0024	3.1	706
BCE_0025	NA	NA
BCE_0026	NA	NA
BCE_0027	1.3	76
BCE_0028	1.3	217
BCE_0029	1.2	162
BCE_0030	1.5	389
BCE_0031	1.7	266
BCE_0032	1.6	95
BCE_0033	1.4	111
BCE_0034	1.5	113
BCE_0035	2.9	2179
BCE_0036	2.5	356
BCE_0037	2.9	54
BCE_0038	1.7	105
BCE_0039	1.9	120
BCE_0040	1.2	8
BCE_0041	NA	NA
BCE_0042	NA	82
BCE_0043	2.5	179
BCE_0044	3.8	246
BCE_0045	NA	294
BCE_0046	5.4	271
BCE_0047	3.4	1511
BCE_0048	3.4	565
BCE_0049	2.7	167
BCE_0050	2.7	136
BCE_0051	3.3	159
BCE_0052	4.1	78
BCE_0053	2.2	121
BCE_0054	2.6	215
BCE_0055	2.4	163
BCE_0056	3.2	148
BCE_0057	2.3	195
BCE_0058	2.4	320
BCE_0059	3.1	1374
BCE_0060	NA	NA
BCE_0061	1.4	659
BCE_0062	1.6	939
BCE_0063	2.8	726
BCE_0064	2.4	270
BCE_0065	2.8	325
BCE_0066	2.9	383
BCE_0067	3.8	131
BCE_0068	4.7	153
BCE_0069	3.9	188
BCE_0070	4.7	236
BCE_0071	3.3	176
BCE_0072	4.2	181
BCE_0073	3.2	260
BCE_0074	4.4	149
BCE_0075	4.6	591
BCE_0076	3.0	331
BCE_0077	3.1	563
BCE_0078	2.0	158
BCE_0079	2.3	148
BCE_0080	2.7	162
BCE_0081	3.2	167
BCE_0082	2.1	140
BCE_0083	1.8	119
BCE_0084	1.8	236
BCE_0085	2.1	261
BCE_0086	3.5	177
BCE_0087	2.1	407
BCE_0088	2.8	309
BCE_0089	3.0	397
BCE_0090	3.6	585
BCE_0091	3.6	457
BCE_0092	4.9	281
BCE_0093	2.6	50
BCE_0094	1.6	979
BCE_0095	2.0	586
BCE_0096	1.8	873
BCE_0097	NA	15114
BCE_0098	4.0	5263
BCE_0099	3.3	11268
BCE_0100	5.2	7485
BCE_0101	3.9	587
BCE_0102	4.3	3922
BCE_0103	5.4	3033
BCE_0104	3.3	8489
BCE_0105	8.0	13077
BCE_0106	8.8	12971
BCE_0107	6.9	11412
BCE_0108	9.8	14045
BCE_0109	3.5	24561
BCE_0110	NA*	30095
BCE_0111	4.1	28859
BCE_0112	4.8	36536
BCE_0113	5.5	38512
BCE_0114	5.8	35467
BCE_0115	9.0	22017
BCE_0116	9.9	19185
BCE_0117	9.6	22638
BCE_0118	11.7	27969
BCE_0119	NA	24799
BCE_0120	10.2	28205
BCE_0121	9.5	28645
BCE_0122	8.6	29179
BCE_0123	NA	20917
BCE_0124	7.9	22486
BCE_0125	7.9	25973
BCE_0126	12.9	29571
BCE_0127	12.9	33884
BCE_0128	12.8	29616
BCE_0129	NA	22631
BCE_0130	9.8	19705
BCE_0131	13.4	11449
BCE_0132	NA	19335
BCE_0133	NA	17039
BCE_0134	NA	27303
BCE_0135	NA	17195
BCE_0136	NA	14283
BCE_0137	NA	16044
BCE_0138	11.3	17044
BCE_0139	4.0	476
BCE_0140	3.8	384
BCE_0141	3.7	385
BCE_0142	4.0	363
BCE_0143	5.5	8940
BCE_0144	4.2	3063
BCE_0145	NA	8
BCE_0146	NA	NA
BCE_0147	1.8	282
BCE_0148	1.2	15
BCE_0149	1.9	22
BCE_0150	1.8	10
BCE_0151	NA	NA
BCE_0152	NA	104
BCE_0153	NA	10
BCE_0154	NA	7
