"Gene_name"	"replicate1_timepoint1"	"replicate1_timepoint2"	"replicate1_timepoint3"	"replicate1_timepoint4"	"replicate2_timepoint1"	"replicate2_timepoint2"	"replicate2_timepoint3"	"replicate2_timepoint4"	"replicate3_timepoint1"	"replicate3_timepoint2"	"replicate3_timepoint3"	"replicate3_timepoint4"
VNG0001H	964.2793395	1974.451773	3379.49908	2540.492764	1080.703595	1898.771207	3056.420535	2212.076934	907.2580299	1733.054705	3670.685701	1917.004428
VNG0002G	348.4800652	863.6901532	954.0590931	1083.964022	360.5092054	658.7820173	1630.995664	982.6677931	346.8017043	712.031243	1454.482556	790.5229773
VNG0003C	450.9194837	1283.923642	1645.285336	1908.435949	482.7389931	1032.760437	2522.305057	1699.477341	502.0367528	1087.563541	2305.803989	1430.168052
VNG0005H	531.6152345	633.2892655	358.3485478	320.8196203	520.9186347	527.5572794	488.0421541	340.6957105	486.5545339	615.4957341	442.5601163	287.4127503
VNG0006G	1159.62352	1219.65037	1380.256723	1283.278481	1164.753741	1186.943462	1808.419846	1334.329786	1202.039478	1222.870435	1767.745252	1164.545712
VNG0008G	430.8036842	452.9001138	514.9064611	468.3889797	490.7045299	502.9073287	635.8118692	478.5152019	420.4970664	426.4852331	609.2857368	403.2604999
VNG0009G	282.5514042	274.2454732	315.7507425	158.876622	360.9212159	324.7993512	297.3823631	161.5303717	274.9642084	286.855854	334.3585912	161.6351935
VNG0011C	839.2823191	582.5066357	398.7505899	172.8669639	782.682652	537.465593	229.0263044	163.4568807	674.8183162	690.9427533	239.9941584	188.1146792
VNG0013C	7533.541349	13564.74385	21688.21146	31015.43802	8017.312717	11984.58856	30111.17892	29080.95004	8350.489607	11591.20323	33854.37445	25029.73379
VNG0014C	5.930091199	10.11798127	34.03432898	17.82331224	7.416189368	9.666647356	15.07854235	15.70845816	14.6565006	12.31253437	21.09589483	23.16954993
VNG0015H	52.20805781	66.5859529	80.8040843	115.9473538	63.86163067	77.93734431	50.76442592	88.91580091	62.96102369	73.08929978	49.22375461	156.67029
VNG0016H	116.8576795	157.0696139	284.7904819	417.7937707	136.9248296	185.9621285	192.0001059	310.0197592	155.028619	202.2399263	203.9269834	513.3158621
VNG0017H	5.697538603	5.010809769	40.18246583	4.791212967	9.61357881	10.02914663	4.356023346	6.372299065	9.908620122	14.01533168	11.34187894	15.17053864
VNG0018H	4.069670431	6.938044296	73.33848955	6.899346673	11.12428405	10.63331209	3.518326549	11.41086112	11.97291598	12.31253437	16.78598083	33.37518501
VNG0019H	152.7870556	151.9624424	173.026137	277.3154065	208.4773233	203.8454261	95.83251361	218.8810632	231.4075658	291.9642459	115.9140028	193.3554107
VNG0020H	8.488169755	13.39427996	155.8991844	16.48177261	31.17546271	36.12909449	14.0733062	20.59882721	27.04227575	31.04330474	47.1822164	76.68017714
VNG0021H	0.232552596	0.770893811	7.685171061	0.766594075	1.510705242	1.329164011	0.335078719	1.333737014	0.825718343	0.654922041	1.814700631	3.309935704
