"GENE_NAME"	"E0"	"M45"	"J45"	"T45"	"M90"	"J90"	"T90"	"M45/E0"	"J45/E0"	"T45/E0"	"M90/E0"	"J90/E0"	"T90/E0"	"FUNCTION"	"MAPLOC"	
LA0001	0.829	0.935	0.844	0.629	0.888	0.986	0.754	1.13	1.02	0.76	1.07	1.19	0.91	chromosomal replication initiator protein	234-1565	
LA0002	1.106	1.743	1.039	1.042	1.67	1.182	0.93	1.58	0.94	0.94	1.51	1.07	0.84	DNA polymerase III beta subunit	3221-4342	
LA0003	1.078	0.954	1.234	1.04	1.067	1.211	0.941	0.88	1.14	0.96	0.99	1.12	0.87	RecF protein	5004-6101	
LA0004	0.804	0.93	0.673	0.616	1.038	0.889	0.687	1.16	0.84	0.77	1.29	1.11	0.85	hypothetical protein	6098-6562	
LA0005	1.475	1.935	1.423	1.049	1.722	1.298	1.373	1.31	0.96	0.71	1.17	0.88	0.93	DNA gyrase subunit B	6626-8545	
LA0006	1.506	1.708	1.114	1.012	3.54	1.52	1.367	1.13	0.74	0.67	2.35	1.01	0.91	DNA gyrase subunit A	8564-11068	
LA0007	1.151	1.076	1.362	0.808	1.349	1.328	1.162	0.93	1.18	0.7	1.17	1.15	1.01	hypothetical protein	11073-12062	
LA0008	0.961	0.997	1.55	1.561	1.096	1.231	1.398	1.04	1.61	1.62	1.14	1.28	1.45	hypothetical protein	12069-12413	
LA0009	1.544	0.98	0.957	0.883	1.121	0.9	0.835	0.63	0.62	0.57	0.73	0.58	0.54	hypothetical protein	12655-13392	
LA0010	0.92	1.033	0.993	0.987	0.946	0.961	0.916	1.12	1.08	1.07	1.03	1.04	1	hypothetical protein	13744-14745	
LA0011	19.184	28.757	2.422	6.228	19.361	3.531	2.453	1.5	0.13	0.32	1.01	0.18	0.13	putative lipoprotein (LipL21)	15156-15716	
LA0012	0.77	0.89	0.46	0.631	0.862	0.82	0.527	1.16	0.6	0.82	1.12	1.06	0.68	hypothetical protein	15795-17402	
LA0013	0.852	0.922	0.701	0.676	0.824	0.875	0.62	1.08	0.82	0.79	0.97	1.03	0.73	transcriptional regulator. Fis family	17424-18317	
LA0014	0.878	0.879	1.339	1.287	0.923	0.967	0.878	1	1.53	1.47	1.05	1.1	1	hypothetical protein	18259-19347	
LA0015	0.556	0.663	0.153	0.296	0.4	0.525	0.129	1.19	0.28	0.53	0.72	0.94	0.23	hypothetical protein	19556-19663	
LA0016	0.83	1.023	0.671	0.724	1.21	1.015	0.815	1.23	0.81	0.87	1.46	1.22	0.98	hypothetical protein	19919-20134	
LA0017	0.689	0.893	0.279	0.429	0.554	0.616	0.225	1.3	0.4	0.62	0.8	0.89	0.33	Maf-like protein	20125-20688	
LA0018	0.841	0.876	0.947	0.74	0.754	0.979	0.714	1.04	1.13	0.88	0.9	1.16	0.85	hypothetical protein	20740-21645	
LA0019	0.765	0.92	0.383	0.569	0.751	0.696	0.427	1.2	0.5	0.74	0.98	0.91	0.56	hypothetical protein	21790-22293	
LA0020	2.665	2.232	3.572	3.787	2.69	2.597	3.486	0.84	1.34	1.42	1.01	0.97	1.31	3-oxoacyl-[acyl-carrier protein] reductase	22298-23041	
LA0021	0.957	1.054	0.835	0.687	1.05	0.86	0.996	1.1	0.87	0.72	1.1	0.9	1.04	predicted translation factor SUA5	23057-23665	
LA0022	1.399	1.237	2.971	1.821	1.127	1.494	2.834	0.88	2.12	1.3	0.81	1.07	2.03	hypothetical protein	24156-25838	
LA0023	0.824	0.901	0.507	0.525	0.674	0.674	0.585	1.09	0.62	0.64	0.82	0.82	0.71	hypothetical protein	26414-26587	
LA0024	0.593	0.702	0.186	0.312	0.578	0.627	0.155	1.18	0.31	0.53	0.97	1.06	0.26	hypothetical protein	26668-27030	
LA0025	1.066	0.992	1.276	1.66	1.096	1.375	1.17	0.93	1.2	1.56	1.03	1.29	1.1	flagellar motor protein	28064-29077	
LA0026	0.684	0.899	0.372	0.426	0.627	0.718	0.357	1.31	0.54	0.62	0.92	1.05	0.52	hypothetical protein	27957-28082	
