"locus"	"product"	"p_id"	"AP"	"GP"
Bd0001	chromosomal replication initiator protein dnaA	NP_967031.1	4.054594101	224.4922382
Bd0002	DNA polymerase III| beta subunit	NP_967032.1	14.19426011	2010.087683
Bd0003	DNA repair and genetic recombination protein	NP_967033.1	6.446377821	1008.7604
Bd0004	DNA gyrase subunit B	NP_967034.1	4.992547878	1327.232684
Bd0005	DNA gyrase subunit A	NP_967035.1	5.474165948	937.3702797
Bd0006	hypothetical protein	NP_967036.1	0.757328221	366.6315936
Bd0007	hypothetical protein	NP_967037.1	3.82498684	307.5523753
Bd0008	hypothetical protein	NP_967038.1	0.846425659	663.5636333
Bd0009	ATP synthase F0| A subunit	NP_967039.1	0.437933276	1251.511589
Bd0010	ATP synthase subunit C	NP_967040.1	5.701395478	8608.242689
Bd0011	hypothetical protein	NP_967041.1	0.327028096	49.30324198
Bd0012	hypothetical protein	NP_967042.1	0.617942659	18.63239084
Bd0013	putative transcriptional regulator	NP_967043.1	2.162799307	78.67009464
Bd0014	hypothetical protein	NP_967044.1	1.325324387	184.2672629
Bd0015	pyridoxal phosphate biosynthetic protein	NP_967045.1	0	85.16171626
Bd0017	survival protein SurA precursor	NP_967046.1	0.654056191	399.9040739
Bd0018	parvulin-like peptidyl-prolyl isomerase	NP_967047.1	2.494728259	185.9649768
Bd0019	hypothetical protein	NP_967048.1	4.849705536	1303.569602
Bd0020	putative lipoprotein	NP_967049.1	0	190.0074891
Bd0021	electron transfer flavoprotein subunit alpha	NP_967050.1	1.871046194	552.6711952
Bd0022	electron transfer flavoprotein beta-subunit	NP_967051.1	0.390405634	745.536362
Bd0024	putative cytochrome B subunit	NP_967052.1	2.747036003	2313.088988
Bd0025	succinate dehydrogenase flavoprotein subunit	NP_967053.1	2.52205705	326.891382
Bd0026	succinate dehydrogenase/fumarate reductase	NP_967054.1	3.063867785	491.4243884
Bd0027	hypothetical protein	NP_967055.1	1224.284181	112.4844336
Bd0028	hypothetical protein	NP_967056.1	929.2661576	76.19913241
Bd0029	subtilase	NP_967057.1	94.29150952	164.4161155
Bd0030	alpha/beta fold family hydrolase	NP_967058.1	12.63326162	26.30991836
Bd0031	hypothetical protein	NP_967059.1	6.568999138	35.21251833
Bd0032	30S ribosomal protein S6	NP_967060.1	9.874966024	3312.776847
Bd0033	hypothetical protein	NP_967061.1	7.461085441	1942.912943
Bd0034	50S ribosomal protein L9	NP_967062.1	12.25029569	4113.282125
Bd0035	trypsin	NP_967063.1	3.449474433	360.5665405
Bd0036	hypothetical protein	NP_967064.1	20.73742865	119.1011649
Bd0037	putative oxidoreductase	NP_967065.1	0	95.01112349
Bd0038	hypothetical protein	NP_967066.1	0.21339969	125.8300443
Bd0039	site-specific DNA inversion stimulation factor	NP_967067.1	0	1164.213887
Bd0040	radical activating enzyme	NP_967068.1	0.472885697	301.0146814
Bd0041	cell division protein FtsK	NP_967069.1	4.922633439	31.29266197
Bd0042	hypothetical protein	NP_967070.1	10.01972992	2164.29473
Bd0043	hypothetical protein	NP_967071.1	0	155.2985778
Bd0044	hypothetical protein	NP_967072.1	2.79790704	276.5242325
Bd0045	hypothetical protein	NP_967073.1	1.056552309	73.15421204
Bd0046	dihydrodipicolinate synthase	NP_967074.1	3.768609483	114.7800342
Bd0047	hypothetical protein	NP_967075.1	2.627599655	186.3329095
Bd0048	hypothetical protein	NP_967076.1	2.962489807	109.1760679
Bd0049	putative translaldolase	NP_967077.1	0.93263568	1421.678258
Bd0050	hypothetical protein	NP_967078.1	0.680571983	866.4341504
Bd0051	hypothetical protein	NP_967079.1	6.714976896	82.80768939
Bd0052	hypothetical protein	NP_967080.1	1.442357806	150.6056497
Bd0054	hypothetical protein	NP_967081.1	2.124992689	166.59087
Bd0055	hypothetical protein	NP_967082.1	10.84727037	5041.033153
Bd0056	hypothetical protein	NP_967083.1	0.656186667	190.1609805
Bd0057	DNA ligase	NP_967084.1	0	73.89488336
Bd0058	glutamyl-tRNA(Gln) amidotransferase (subunit	NP_967085.1	0	64.61871715
Bd0059	glutamyl-tRNA(Gln) amidotransferase| A subunit	NP_967086.1	0.820567442	9.621886374
Bd0060	aspartyl/glutamyl-tRNA amidotransferase subunit	NP_967087.1	1.475047226	19.76713895
Bd0061	hypothetical protein	NP_967088.1	0.660489531	33.19212794
Bd0062	hypothetical protein	NP_967089.1	0.709328545	19.01145356
Bd0063	hypothetical protein	NP_967090.1	44.4502275	41.81486552
Bd0064	hypothetical protein	NP_967091.1	20112.1747	101.5103425
Bd0065	transcription termination factor Rho	NP_967092.1	352.1901542	1671.031637
Bd0067	ion and conversion; Conserved	NP_967093.1	17.65951716	140.2403328
Bd0068	50S ribosomal protein L31	NP_967094.1	3.685048297	3954.788073
Bd0069	peptide chain release factor RF-1	NP_967095.1	0.844061342	1077.399784
Bd0070	HemK protein	NP_967096.1	1.370403448	258.2550771
Bd0071	UDP-N-acetylglucosamine enolpyruvyl	NP_967097.1	1.213550042	252.0735499
Bd0072	hypothetical protein	NP_967098.1	1.520372127	72.58429486
Bd0073	polysaccharide deacetylase-related protein	NP_967099.1	10.3736354	76.23529716
Bd0074	hypothetical protein	NP_967100.1	7.573282214	2364.710348
Bd0075	hypothetical protein	NP_967101.1	42.05408138	19.58741155
Bd0076	hypothetical protein	NP_967102.1	141.7968422	651.9728819
Bd0077	seryl-tRNA synthetase	NP_967103.1	52.460757	300.7396314
Bd0078	hypothetical protein	NP_967104.1	2.601743816	153.1614612
Bd0080	DedA protein	NP_967105.1	72.96941561	263.9634708
Bd0081	adenylate cyclase| putative	NP_967106.1	241.7391683	58.1457995
Bd0082	hypothetical protein	NP_967107.1	240.5058052	3.443401027
Bd0083	hypothetical protein	NP_967108.1	6.714976896	2.499654079
Bd0084	hypothetical protein	NP_967109.1	8.348834911	12.63194174
Bd0085	cytidine/deoxycytidylate deaminase family	NP_967110.1	1.937012566	138.4423798
Bd0086	hypothetical protein	NP_967111.1	2.325533124	21.42560639
Bd0087	GTP cyclohydrolase I	NP_967112.1	1.767099183	55.25551122
Bd0088	hypothetical protein	NP_967113.1	0	40.11682596
Bd0089	hypothetical protein	NP_967114.1	0.350956981	90.5362514
Bd0090	hypothetical protein	NP_967115.1	1.291341711	369.9007334
Bd0091	hypothetical protein	NP_967116.1	4.684867602	372.768181
Bd0092	putative cytochrome b	NP_967117.1	2.560796274	78.6437777
Bd0093	hypothetical protein	NP_967118.1	2.342433801	325.6816739
Bd0094	hypothetical protein	NP_967119.1	1.987986581	257.5301505
Bd0095	hypothetical protein	NP_967120.1	0.542990046	42.7501486
Bd0096	hypothetical protein	NP_967121.1	0	13.0908608
Bd0097	chaperonin groES	NP_967122.1	7.978190372	3775.467621
Bd0099	60 kDa chaperonin	NP_967123.1	13.81051007	4420.823314
Bd0100	hypothetical protein	NP_967124.1	2.284869265	91.85874347
Bd0101	hypothetical protein	NP_967125.1	20.19605996	5.99536321
Bd0102	chemotaxis response regulator	NP_967126.1	11.53335726	18.03185576
Bd0103	hypothetical protein	NP_967127.1	17.36631956	19.39386786
Bd0108	hit locus orf4	NP_967128.1	2009.555586	357.3034948
Bd0109	cell wall-associated protein precursor wapA	NP_967129.1	605.0791341	96.7651933
Bd0110	hypothetical protein	NP_967130.1	436.0135683	18.49059182
Bd0111	Flp pilus assembly protein TadA	NP_967131.1	465.783465	6.840269608
Bd0112	putative pilus assembly transmembrane protein	NP_967132.1	2760.053004	8.601750802
Bd0113	putative flp pilus assembly protein CpaB	NP_967133.1	2534.792603	4.469580141
Bd0114	hypothetical protein	NP_967134.1	955.3941981	1.996765093
Bd0115	hypothetical protein	NP_967135.1	2415.038303	12.61507666
Bd0117	hypothetical protein	NP_967136.1	4327.519448	12.19710725
Bd0118	hypothetical protein	NP_967137.1	16387.12631	62.2990709
Bd0119	hypothetical protein	NP_967138.1	22872.49035	64.27681918
Bd0120	hypothetical protein	NP_967139.1	142.7747515	114.6685973
Bd0121	chemotaxis protein	NP_967140.1	3.858404063	4.762445776
Bd0122	hypothetical protein	NP_967141.1	32.6045121	630.0428677
Bd0123	TPR domain-containing protein	NP_967142.1	4.179446201	263.241579
Bd0125	competence protein ComL	NP_967143.1	1.228349432	238.686481
Bd0126	TPR domain-containing protein	NP_967144.1	0.380093032	75.13111223
Bd0127	acetylornithine/succinyldiaminopimelate	NP_967145.1	14.4832835	516.1050481
Bd0129	succinyl-diaminopimelate desuccinylase	NP_967146.1	10.76789168	261.5450972
Bd0130	arginine N-succinyltransferase	NP_967147.1	7.635104926	176.1053668
Bd0131	succinylglutamic semialdehyde dehydrogenase	NP_967148.1	17.31827045	133.3807513
Bd0132	hypothetical protein	NP_967149.1	7.533422834	175.737453
Bd0133	hypothetical protein	NP_967150.1	0	90.92006029
Bd0134	aspartate kinase III	NP_967151.1	7.865699618	58.56022571
Bd0135	hypothetical protein	NP_967152.1	0.503623267	74.23972615
Bd0136	transcription regulator homolog yacF	NP_967153.1	1.192007733	132.7848787
Bd0137	GTP-binding elongation factor	NP_967154.1	17.81411226	1970.615721
Bd0138	Nod factor export ATP-binding protein I	NP_967155.1	4.237606779	553.6855128
Bd0139	ABC transporter| permease protein	NP_967156.1	2.297900839	160.3865498
