label,organism_protein
A0A0U3E656,Methanobrevibacter millerae | A0A0U3E656
A0A150IHS7,Candidatus Methanofastidiosum methylthiophilus | A0A150IHS7
A0A150IVM8,Candidatus Methanofastidiosum methylthiophilus | A0A150IVM8
A0A150JGX6,Candidatus Methanofastidiosum methylthiophilus | A0A150JGX6
A0A151F470,Theionarchaea archaeon DG-70 | A0A151F470
A0A1J4REA8,Candidatus Aenigmarchaeota archaeon CG1_02_38_14 | A0A1J4REA8
A0A256YV44,Candidatus Aenigmarchaeota archaeon ex4484_56 | A0A256YV44
A0A2D6JDB7,Euryarchaeota archaeon | A0A2D6JDB7
A0A2H9MJ69,Candidatus Aenigmarchaeota archaeon CG01_land_8_20_14_3_00_37_9 | A0A2H9MJ69
A0A2H9N012,Candidatus Aenigmarchaeota archaeon CG15_BIG_FIL_POST_REV_8_21_14_020_37_27 | A0A2H9N012
A0A2H9NSA3,Candidatus Aenigmarchaeota archaeon CG_4_10_14_3_um_filter_37_21 | A0A2H9NSA3
A0A2H9PHL5,Candidatus Aenigmarchaeota archaeon CG_4_10_14_0_8_um_filter_37_24 | A0A2H9PHL5
A0A2H9R306,Candidatus Aenigmarchaeota archaeon CG_4_9_14_3_um_filter_37_18 | A0A2H9R306
A0A328SHR9,Methanosphaera sp. SHI613 | A0A328SHR9
A0A3A5HKR9,Methanobacterium sp | A0A3A5HKR9
A0A497IEL6,Candidatus Micrarchaeota archaeon | A0A497IEL6
A0A497S6Y3,Candidatus Altiarchaeales archaeon | A0A497S6Y3
A0A497SER2,Candidatus Aenigmarchaeota archaeon | A0A497SER2
A0A497SQN0,Candidatus Aenigmarchaeota archaeon | A0A497SQN0
A0A497SRR2,Candidatus Aenigmarchaeota archaeon | A0A497SRR2
A0A497T2K0,Candidatus Aenigmarchaeota archaeon | A0A497T2K0
A0A497T889,Candidatus Aenigmarchaeota archaeon | A0A497T889
A0A497TAR1,Candidatus Aenigmarchaeota archaeon | A0A497TAR1
A0A5E4JAX1,uncultured archaeon | A0A5E4JAX1
A0A662QPX2,Candidatus Nanohaloarchaeota archaeon | A0A662QPX2
A0A7J2Z1W4,Candidatus Micrarchaeota archaeon | A0A7J2Z1W4
A0A7K4BVA4,Candidatus Methanofastidiosa archaeon | A0A7K4BVA4
A0A7K4DAI2,Candidatus Methanofastidiosa archaeon | A0A7K4DAI2
A0A7L4PLV1,Candidatus Methanofastidiosa archaeon | A0A7L4PLV1
A0A7L4RRS9,Candidatus Micrarchaeota archaeon | A0A7L4RRS9
A0A832UFM2,Candidatus Methanofastidiosum sp | A0A832UFM2
A0A832URZ6,Candidatus Naiadarchaeales archaeon SRR2090159.bin1288 | A0A832URZ6
A0A832UYX0,Candidatus Naiadarchaeales archaeon SRR2090153.bin1042 | A0A832UYX0
A0A832UZ08,Candidatus Undinarchaeum marinum | A0A832UZ08
A0A832UZA3,Candidatus Naiadarchaeum limnaeum | A0A832UZA3
A0A832XHQ1,Candidatus Undinarchaeales archaeon SRR5007147.bin71 | A0A832XHQ1
A0A832XJ01,Candidatus Undinarchaeales archaeon ERR594346 U_76725 | A0A832XJ01
A0A842WE24,Candidatus Altiarchaeales archaeon | A0A842WE24
A0A497T9W6,Candidatus Aenigmarchaeota archaeon | A0A497T9W6
A0A256Y696,Candidatus Aenigmarchaeota archaeon ex4484_52 | A0A256Y696
A0A497RIW1,Candidatus Altiarchaeales archaeon | A0A497RIW1
A0A497S061,Candidatus Altiarchaeales archaeon | A0A497S061
A0A497S380,Candidatus Altiarchaeales archaeon | A0A497S380
A0A256ZMA0,Candidatus Altiarchaeales archaeon ex4484_2 | A0A256ZMA0
A0A256YK67,Candidatus Altiarchaeales archaeon ex4484_43 | A0A256YK67
A0A256XIQ4,Candidatus Altiarchaeales archaeon ex4484_96 | A0A256XIQ4
A0A2D6LPF2,Candidatus Diapherotrites archaeon | A0A2D6LPF2
A0A7K4BZ95,Candidatus Diapherotrites archaeon | A0A7K4BZ95
A0A7T9I1T4,Candidatus Diapherotrites archaeon | A0A7T9I1T4
A0A2H9LC46,Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_34_12 | A0A2H9LC46
A0A2G9P593,Candidatus Diapherotrites archaeon CG10_big_fil_rev_8_21_14_0_10_31_34 | A0A2G9P593
A0A7L4RG07,Candidatus Micrarchaeota archaeon | A0A7L4RG07
A0A7L4RP69,Candidatus Micrarchaeota archaeon | A0A7L4RP69
A0A1J4USV2,Candidatus Micrarchaeota archaeon CG1_02_55_22 | A0A1J4USV2
A0A1J4UP21,Candidatus Micrarchaeota archaeon CG1_02_55_41 | A0A1J4UP21
A0A2G9PSX9,Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_59_11 | A0A2G9PSX9
A0A1F6R5L2,Candidatus Micrarchaeota archaeon RBG_16_49_10 | A0A1F6R5L2
A0A2E7LTP1,Candidatus Woesearchaeota archaeon | A0A2E7LTP1
A0A7J3RBG4,Candidatus Woesearchaeota archaeon | A0A7J3RBG4
A0A662FES9,Candidatus Woesearchaeota archaeon | A0A662FES9
A0A7J4JBI4,Nanoarchaeota archaeon | A0A7J4JBI4
A0A5Q0UGA9,Candidatus Nanohalobium constans | A0A5Q0UGA9
A0A5E4HUZ5,uncultured archaeon | A0A5E4HUZ5
A0A5E4LHE8,uncultured archaeon | A0A5E4LHE8
A0A075H085,uncultured marine group II/III euryarchaeote KM3_37_C11 | A0A075H085
A0A519BX03,uncultured DHVE6 group euryarchaeote | A0A519BX03
A0A7J3S711,Methanobacteriaceae archaeon | A0A7J3S711
A0A7L4NYF7,Methanobacteriaceae archaeon | A0A7L4NYF7
A0A117KQY0,Methanobacteriaceae archaeon 41_258 | A0A117KQY0
A0A2I0PSE5,Methanobacteriales archaeon HGW-Methanobacteriales-1 | A0A2I0PSE5
A0A1D3L3H9,Methanobacterium congolense | A0A1D3L3H9
A0A090I715,Methanobacterium formicicum | A0A090I715
F0TAE6,Methanobacterium lacus (strain AL-21) | F0TAE6
F6D3C8,Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1) | F6D3C8
A0A6A8RRC5,Methanobacterium sp | A0A6A8RRC5
A0A7C6FZU1,Methanobacterium sp | A0A7C6FZU1
A0A1D2WCC4,Methanobacterium sp. A39 | A0A1D2WCC4
A0A347APG5,Methanobacterium sp. BAmetb5 | A0A347APG5
A0A347AGT4,Methanobacterium sp. BRmetb2 | A0A347AGT4
U6EBV9,Methanobacterium sp. MB1 | U6EBV9
A0A7J4TN52,Methanobacterium subterraneum | A0A7J4TN52
A0A166CV13,Methanobrevibacter cuticularis | A0A166CV13
A0A126QYE7,Methanobrevibacter olleyae | A0A126QYE7
A0A166ATU3,Methanobrevibacter oralis | A0A166ATU3
D3E1R1,Methanobrevibacter ruminantium (strain ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1) | D3E1R1
D3E233,Methanobrevibacter ruminantium (strain ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1) | D3E233
A5UK87,Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS) | A5UK87
A0A219AJ82,Methanobrevibacter sp. 87.7 | A0A219AJ82
A0A125RBG3,Methanobrevibacter sp. YE315 | A0A125RBG3
A0A125RBG4,Methanobrevibacter sp. YE315 | A0A125RBG4
A0A315XP18,Methanobrevibacter thaueri | A0A315XP18
A0A315Y9D0,Methanobrevibacter thaueri | A0A315Y9D0
A0A2U1S748,Methanobrevibacter woesei | A0A2U1S748
A0A2A2HET8,Methanosphaera cuniculi | A0A2A2HET8
A0A2V2BQ81,Methanosphaera cuniculi | A0A2V2BQ81
A0A328SDM2,Methanosphaera sp. rholeuAM74 | A0A328SDM2
A0A328SM80,Methanosphaera sp. rholeuAM270 | A0A328SM80
A0A328RTI1,Methanosphaera sp. SHI1033 | A0A328RTI1
Q2NH93,Methanosphaera stadtmanae (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3) | Q2NH93
A0A3G9CXG4,Methanothermobacter sp. MT-2 | A0A3G9CXG4
A0A6B9TEG1,Methanothermobacter sp. THM-1 | A0A6B9TEG1
O27861,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) | O27861
E3GZL0,Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S) | E3GZL0
A0A662QQ12,Candidatus Nanohaloarchaeota archaeon | A0A662QQ12
A0A662QRY3,Candidatus Nanohaloarchaeota archaeon | A0A662QRY3
H0A9P6,Haloredivivus sp. (strain G17) | H0A9P6
A0A6N0NMA0,Nanohaloarchaea archaeon | A0A6N0NMA0
A0A2P6WBG2,Nanohaloarchaea archaeon QH_8_44_6 | A0A2P6WBG2
A0A2P6W4G1,Nanohaloarchaea archaeon SW_4_43_9 | A0A2P6W4G1
A0A2P6W6G1,Nanohaloarchaea archaeon SW_7_46_7 | A0A2P6W6G1
G0QHT5,Nanosalina sp. (strain J07AB43) | G0QHT5
G0QCR8,Nanosalinarum sp. (strain J07AB56) | G0QCR8
A0A7J3DLA7,archaeon | A0A7J3DLA7
A0A1V5QN68,archaeon ADurb.Bin336 | A0A1V5QN68
A0A2H9LQL7,archaeon CG07_land_8_20_14_0_80_38_8 | A0A2H9LQL7
A0A2G9P8H6,archaeon CG10_big_fil_rev_8_21_14_0_10_43_11 | A0A2G9P8H6
A0A0B5HDF4,Archaeon GW2011_AR10 | A0A0B5HDF4
A0A2G9PKJ3,Candidatus Micrarchaeota archaeon CG09_land_8_20_14_0_10_55_25 | A0A2G9PKJ3
A0A2D6M204,Candidatus Diapherotrites archaeon | A0A2D6M204
A0A5E4JAP0,uncultured archaeon | A0A5E4JAP0
A0A7J2JKL8,Candidatus Altiarchaeales archaeon | A0A7J2JKL8
A0A2A2H2E5,Methanobacterium bryantii | A0A2A2H2E5
A0A832PC39,Methanothermobacter sp | A0A832PC39
A0A2G9N406,Candidatus Diapherotrites archaeon CG11_big_fil_rev_8_21_14_0_20_37_9 | A0A2G9N406
A0A832PFC8,Methanothermobacter sp | A0A832PFC8
A0A328PGV4,Methanothermobacter tenebrarum | A0A328PGV4
A0A842LAD1,Methanobacteriales archaeon | A0A842LAD1
A0A842M8H4,Methanobacteriaceae archaeon | A0A842M8H4
A0A7J4IW72,Candidatus Diapherotrites archaeon | A0A7J4IW72
A0A1G5VWZ1,Methanobrevibacter millerae | A0A1G5VWZ1
A0A1V5MCH4,Firmicutes bacterium ADurb.Bin419 | A0A1V5MCH4
A0A089ZGR6,Methanobacterium formicicum | A0A089ZGR6
A0A1D2WX89,Methanobrevibacter sp. A54 | A0A1D2WX89
